id,type,title,content,author,created_at
1,issue,"PostgresSaver 사용 시 연결 누수 문제","LangGraph에서 PostgresSaver를 사용하여 체크포인트를 저장할 때, 루프가 반복될수록 DB 커넥션 숫자가 계속 증가합니다. close가 제대로 안 되는 것 같아요.","dev_kim","2026-03-10"
2,comment,"Re: PostgresSaver 사용 시 연결 누수 문제","해당 문제는 JDBC 드라이버 버전보다는 LangGraph 내부의 pool 관리 로직 문제로 보입니다. 혹시 `pool_size` 설정을 따로 하셨나요?","admin_choi","2026-03-11"
3,comment,"Re: PostgresSaver 사용 시 연결 누수 문제","네, pool_size를 5로 설정했는데도 20개가 넘는 커넥션이 active 상태입니다.","dev_kim","2026-03-11"
4,issue,"Groq API 연동 시 Tool Choice 에러","Groq 모델을 사용하여 Tool 호출을 시도하면 'Invalid tool call' 에러가 빈번하게 발생합니다. 특히 bind_tools를 사용할 때 심하네요.","alpha_coder","2026-03-12"
5,comment,"Re: Groq API 연동 시 Tool Choice 에러","Groq은 현재 function calling 형식이 OpenAI와 미세하게 다릅니다. prompt에 system message로 tool 사용 형식을 명시해보세요.","llm_master","2026-03-12"
6,issue,"Docker 환경에서 H2 Database 연결 불가","OpenJDK 25-ea-slim 이미지를 사용하여 H2 서버를 띄웠는데, 외부 호스트에서 접근이 안 됩니다. 9092 포트 포워딩은 완료했습니다.","infra_genie","2026-03-13"
7,comment,"Re: Docker 환경에서 H2 Database 연결 불가","H2 실행 시 `-tcpAllowOthers` 옵션을 주셨나요? Docker 내부 로컬호스트로만 바인딩되어 있을 가능성이 큽니다.","admin_choi","2026-03-14"
8,issue,"LangGraph recursion_limit 초과 현상","복잡한 조건부 에지(Conditional Edge)를 짰는데, 순환 고리에 빠져서 25회 제한에 걸립니다. 시각화 도구가 필요합니다.","graph_fan","2026-03-15"
9,comment,"Re: LangGraph recursion_limit 초과 현상","`get_graph().draw_mermaid_png()`를 사용하여 로직을 먼저 확인해보세요. 의도치 않은 루프가 생성된 것 같습니다.","llm_master","2026-03-15"
10,issue,"MySQL Isolation Level 설정 문의","프로젝트에서 트랜잭션 격리 수준을 REPEATABLE READ로 쓰고 있는데, 체크포인트 저장 시 데드락이 발생합니다. READ COMMITTED가 권장되나요?","db_expert","2026-03-16"
11,comment,"Re: MySQL Isolation Level 설정 문의","맞습니다. LangChain의 SQL 기반 체크포인터는 높은 동시성을 요구하므로 READ COMMITTED를 권장합니다.","admin_choi","2026-03-16"
12,issue,"Custom ToolNode에서 에러 핸들링","ToolNode 실행 중 예외가 발생하면 전체 그래프가 멈춥니다. try-except 없이 노드 수준에서 핸들링하는 방법이 있나요?","error_fixer","2026-03-17"
13,comment,"Re: Custom ToolNode에서 에러 핸들링","`set_error_handler` 인터페이스를 구현하거나, 노드 출력값에 error 메시지를 포함하여 조건부 에지로 분기 처리하는 것을 추천합니다.","llm_master","2026-03-17"
14,issue,"한국어 프롬프트 템플릿 최적화 제안","번역 툴을 만들 때 한국어 조사가 깨지는 현상이 있습니다. Few-shot 예제를 한국어로 구성했을 때 성능이 훨씬 좋습니다.","korean_dev","2026-03-18"
15,comment,"Re: 한국어 프롬프트 템플릿 최적화 제안","좋은 지적입니다. 다음 릴리즈에 한국어 전용 프롬프트 템플릿 가이드를 추가하겠습니다.","admin_choi","2026-03-19"
16,issue,"RunnableLambda에서 async/await 지원 여부","LCEL로 구성한 체인에서 특정 함수만 비동기로 실행하고 싶은데, Sync와 Async를 섞어서 써도 되나요?","async_runner","2026-03-20"
17,comment,"Re: RunnableLambda에서 async/await 지원 여부","네, LangChain은 내부적으로 `ainvoke`를 통해 자동으로 동기 함수를 스레드 풀에서 실행하므로 혼용 가능합니다.","llm_master","2026-03-20"
18,issue,"Vector Store 검색 결과 중복 제거","ChromaDB에서 검색 결과가 동일한 문서의 다른 섹션일 때 중복이 많습니다. mmr 설정을 어떻게 하나요?","search_dev","2026-03-21"
19,comment,"Re: Vector Store 검색 결과 중복 제거","`as_retriever(search_type='mmr', search_kwargs={'k': 5, 'fetch_k': 20})` 방식으로 설정하세요.","admin_choi","2026-03-21"
20,issue,"Gemini-1.5-Pro 연동 시 멀티모달 인식률","PDF의 이미지를 읽어서 LangGraph 상태에 저장하고 싶은데, 이미지가 유실되는 버그가 있습니다.","vision_ai","2026-03-22"
21,comment,"Re: Gemini-1.5-Pro 연동 시 멀티모달 인식률","Base64 인코딩 방식보다는 GCS/S3 경로를 직접 전달하는 방식이 현재 더 안정적입니다.","llm_master","2026-03-22"
22,issue,"LangServe 배포 시 스트리밍 설정","FastAPI 환경에서 `astream_log`를 쓰는데 클라이언트에서 출력이 한꺼번에 나옵니다.","web_dev","2026-03-23"
23,comment,"Re: LangServe 배포 시 스트리밍 설정","중간 미들웨어에서 버퍼링을 하고 있을 가능성이 큽니다. Nginx 설정의 `proxy_buffering off`를 확인해보세요.","infra_genie","2026-03-23"
24,issue,"Docker-compose로 MySQL 8.0 환경 구성","제공해주신 docker-compose 파일로 실행하면 `mysql_native_password` 인증 에러가 납니다.","newbie_dev","2026-03-24"
25,comment,"Re: Docker-compose로 MySQL 8.0 환경 구성","MySQL 8.0부터 인증 방식이 바뀌었습니다. `command: --default-authentication-plugin=mysql_native_password` 옵션을 추가하세요.","db_expert","2026-03-24"
26,issue,"LangGraph의 State Graph 업데이트 방식","State에 리스트를 추가할 때 덮어씌워지지 않고 append 되게 하려면 어떻게 정의하나요?","graph_fan","2026-03-25"
27,comment,"Re: LangGraph의 State Graph 업데이트 방식","TypedDict 정의 시 해당 필드에 `operator.add` 어노테이션을 사용하면 자동으로 리스트가 병합됩니다.","llm_master","2026-03-25"
28,issue,"Groq Llama-3 70b 속도 제한(Rate Limit)","무료 티어 사용 중인데 분당 요청 수 제한이 너무 낮습니다. 백오프(Backoff) 로직이 내장되어 있나요?","alpha_coder","2026-03-26"
29,comment,"Re: Groq Llama-3 70b 속도 제한(Rate Limit)","LangChain의 `with_retry` 메서드를 체인 끝에 붙이면 지수 백오프가 적용됩니다.","admin_choi","2026-03-26"
30,issue,"JDBC Shop 프로젝트에서 Connection Leak","교수님 과제 중인 학생인데, ConnectionUtil 클래스에서 conn.close()를 안 하면 어떤 일이 벌어지나요?","student_lee","2026-03-27"
31,comment,"Re: JDBC Shop 프로젝트에서 Connection Leak","DB 서버의 최대 연결 수가 금방 꽉 차서 더 이상 새로운 요청을 처리할 수 없게 되어 서비스가 중단됩니다. 항상 try-with-resources를 쓰세요.","dev_kim","2026-03-27"
32,issue,"PDF 파싱 속도 개선 방법","100페이지가 넘는 PDF를 PyPDFLoader로 읽으니 너무 느립니다. 대안이 있을까요?","doc_analyst","2026-03-28"
33,comment,"Re: PDF 파싱 속도 개선 방법","멀티 프로세싱을 지원하는 `PyMuPDFLoader`나 `UnstructuredPDFLoader`를 사용해 보세요. 훨씬 빠릅니다.","search_dev","2026-03-28"
34,issue,"LangChain Expression Language (LCEL) 디버깅","체인이 복잡해지니 어디서 데이터가 변형되는지 알기 어렵습니다. 중간 결과를 출력할 방법은?","dev_kim","2026-03-29"
35,comment,"Re: LangChain Expression Language (LCEL) 디버깅","`.pipe(print)`를 중간에 넣거나 LangSmith를 연동하여 트레이스를 확인하는 것이 정석입니다.","llm_master","2026-03-29"
36,issue,"Daejeon 공공데이터 API 연동 문제","대전시 버스 도착 정보를 툴로 만들었는데, JSON 형식이 아니라 XML로 내려와서 파싱 에러가 납니다.","local_dev","2026-03-30"
37,comment,"Re: Daejeon 공공데이터 API 연동 문제","`xmltodict` 라이브러리를 사용하여 XML을 JSON으로 먼저 변환한 뒤 모델에게 넘겨주면 해결됩니다.","admin_choi","2026-03-30"
38,issue,"AgentExecutor vs LangGraph 선택 기준","간단한 챗봇을 만드는데 AgentExecutor를 써도 될까요? 아니면 무조건 LangGraph로 가야 하나요?","newbie_dev","2026-03-31"
39,comment,"Re: AgentExecutor vs LangGraph 선택 기준","현재 LangChain에서는 AgentExecutor를 유지보수 모드로 전환 중입니다. 새 프로젝트라면 유연성이 높은 LangGraph를 권장합니다.","llm_master","2026-03-31"
40,issue,"MySQL EXPLAIN 결과 해석 요청","특정 쿼리에서 MUL 키가 잡히는데 인덱스 스캔 속도가 느립니다. 실행 계획 첨부합니다.","db_expert","2026-04-01"
41,comment,"Re: MySQL EXPLAIN 결과 해석 요청","실행 계획을 보니 'Using filesort'가 떴네요. ORDER BY 절에 사용된 컬럼이 복합 인덱스 순서와 맞지 않는 것 같습니다.","admin_choi","2026-04-01"
42,issue,"OpenAI Whisper 모델의 한국어 인식 정확도","기술 용어가 많이 섞인 한국어 강의 녹음본을 처리하는데, 'LangChain'을 '랭체인'이 아닌 '양체인'으로 인식합니다.","korean_dev","2026-04-02"
43,comment,"Re: OpenAI Whisper 모델의 한국어 인식 정확도","prompt 매개변수에 기술 용어 사전(예: LangChain, LangGraph)을 넣어주면 인식 정확도가 비약적으로 올라갑니다.","vision_ai","2026-04-02"
44,issue,"Semantic Chunking 설정 가이드","단순 글자 수 기반 벙커링보다 의미 단위 청킹을 하고 싶은데 어떻게 구현하나요?","search_dev","2026-04-02"
45,comment,"Re: Semantic Chunking 설정 가이드","`SemanticChunker` 클래스를 임베딩 모델과 함께 사용하세요. 문장 간의 유사도를 측정해 경계를 나눕니다.","admin_choi","2026-04-02"
46,issue,"Groq API 사용 시 Context Window 초과","긴 문서를 넣으니 8k 토큰 제한에 걸립니다. 압축 방법이 있을까요?","doc_analyst","2026-04-03"
47,comment,"Re: Groq API 사용 시 Context Window 초과","`MapReduce` 방식을 사용하여 문서를 요약한 뒤 최종 답변을 생성하거나, Llama-3-70b-8192 모델의 긴 컨텍스트 버전을 사용하세요.","llm_master","2026-04-03"
48,issue,"H2 Database 콘솔 접속 암호 분실","Docker로 띄운 H2 데이터베이스의 sa 계정 암호를 잊어버렸습니다. 초기화 방법이 있나요?","student_lee","2026-04-03"
49,comment,"Re: H2 Database 콘솔 접속 암호 분실","H2는 기본적으로 암호가 없는 경우가 많습니다. 혹은 DB 파일(`.mv.db`)을 삭제하고 다시 컨테이너를 띄우면 초기화됩니다.","infra_genie","2026-04-03"
50,comment,"Re: H2 Database 콘솔 접속 암호 분실","파일 삭제 전 반드시 데이터 백업 여부를 확인하세요!","admin_choi","2026-04-03"